ID_Codigo;ID;Anexo;Titulo_Anexo;Item_Anexo;Descritivo;Tratamento;Perc_Reducao;Perc_Aliquota_Aplicavel;Tributo;Tipo_Classificacao;Codigo;Codigo_Normalizado;Nivel_Codigo;Base_Legal;Linha_Agrupadora;Condicionantes_Observacoes
1;1;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);1;Arroz das subposições 1006.20 e 1006.30 e do código 1006.40.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1006.20;100620;6 digitos (subposicao);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
2;1;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);1;Arroz das subposições 1006.20 e 1006.30 e do código 1006.40.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1006.30;100630;6 digitos (subposicao);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
3;1;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);1;Arroz das subposições 1006.20 e 1006.30 e do código 1006.40.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1006.40.00;10064000;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
4;2;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);2;Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0401.10.10;04011010;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
5;2;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);2;Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0401.10.90;04011090;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
6;2;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);2;Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0401.20.10;04012010;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
7;2;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);2;Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0401.20.90;04012090;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
8;2;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);2;Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0401.40.10;04014010;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
9;2;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);2;Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0401.50.10;04015010;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
10;3;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);3;Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0402.10.10;04021010;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
11;3;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);3;Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0402.10.90;04021090;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
12;3;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);3;Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0402.21.10;04022110;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
13;3;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);3;Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0402.21.20;04022120;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
14;3;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);3;Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0402.29.10;04022910;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
15;3;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);3;Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0402.29.20;04022920;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
16;4;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);4;Fórmulas infantis, em conformidade com os requisitos da legislação específica, classificadas nos códigos 1901.10.10, 1901.10.90 e 2106.90.90 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1901.10.10;19011010;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
17;4;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);4;Fórmulas infantis, em conformidade com os requisitos da legislação específica, classificadas nos códigos 1901.10.10, 1901.10.90 e 2106.90.90 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1901.10.90;19011090;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
18;4;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);4;Fórmulas infantis, em conformidade com os requisitos da legislação específica, classificadas nos códigos 1901.10.10, 1901.10.90 e 2106.90.90 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;2106.90.90;21069090;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
19;5;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);5;Manteiga do código 0405.10.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0405.10.00;04051000;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
20;6;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);6;Margarina do código 1517.10.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1517.10.00;15171000;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
21;7;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);7;Feijões dos códigos 0713.33.19, 0713.33.29, 0713.33.99 e 0713.35.90 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0713.33.19;07133319;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
22;7;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);7;Feijões dos códigos 0713.33.19, 0713.33.29, 0713.33.99 e 0713.35.90 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0713.33.29;07133329;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
23;7;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);7;Feijões dos códigos 0713.33.19, 0713.33.29, 0713.33.99 e 0713.35.90 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0713.33.99;07133399;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
24;7;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);7;Feijões dos códigos 0713.33.19, 0713.33.29, 0713.33.99 e 0713.35.90 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;0713.35.90;07133590;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
25;8;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);8;Café da posição 09.01 e da subposição 2101.1, ambos da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;09.01;0901;4 digitos (posicao);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
26;8;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);8;Café da posição 09.01 e da subposição 2101.1, ambos da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;2101.1;21011;5 digitos (subposicao);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
27;9;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);9;Óleo de babaçu do código 1513.21.20 da NCM/SH, em conformidade com os requisitos da legislação específica relativos ao consumo como alimento;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1513.21.20;15132120;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
28;10;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);10;Farinha de mandioca classificada no código 1106.20.00 da NCM/SH e tapioca e seus sucedâneos do código 1903.00.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1106.20.00;11062000;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
29;10;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);10;Farinha de mandioca classificada no código 1106.20.00 da NCM/SH e tapioca e seus sucedâneos do código 1903.00.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1903.00.00;19030000;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
30;11;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);11;Farinha, grumos e sêmolas, de milho, dos códigos 1102.20.00 e 1103.13.00 da NCM;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1102.20.00;11022000;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
31;11;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);11;Farinha, grumos e sêmolas, de milho, dos códigos 1102.20.00 e 1103.13.00 da NCM;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1103.13.00;11031300;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
32;12;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);12;Grãos de milho classificados no código 1104.19.00 e do código 1104.23.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1104.19.00;11041900;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
33;12;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);12;Grãos de milho classificados no código 1104.19.00 e do código 1104.23.00 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1104.23.00;11042300;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
34;13;I;Produtos destinados a alimentacao humana submetidos a reducao a zero (Cesta Basica Nacional de Alimentos);13;Farinha de trigo do código 1101.00.10 da NCM/SH;Reducao a zero;100.0;0.0;IBS e CBS;NCM/SH;1101.00.10;11010010;8 digitos (item completo);Art. 125;Nao;Exclui produtos horticolas, frutas e ovos, que estao no Anexo XV
